,title,code,desciption,university
17,Quantum Information Processing,co681,"Review of basics of quantum information and computational complexity; Simple quantum algorithms; Quantum Fourier transform and Shor factoring algorithm: Amplitude amplification, Grover search algorithm and its optimality; Completely positive trace-preserving maps and Kraus representation; Non-locality and communication complexity; Physical realizations of quantum computation: requirements and examples; Quantum error-correction, including CSS codes, and elements of fault-tolerant computation; Quantum cryptography; Security proofs of quantum key distribution protocols; Quantum proof systems.  Familiarity with theoretical computer science or quantum mechanics will also be an asset, though most students will not be familiar with both.",waterloo
18,The Mathematics of Public-Key Cryptography,co685,"An in-depth study of public-key cryptography, including: number-theoretic problems - prime generation, integer factorization, discrete logarithms; public-key encryption; digital signatures; key establishment; secret sharing; and security definitions and proofs.",waterloo
19,Applied Cryptography,co687,"A broad introduction to cryptography, highlighting the major developments of the past twenty years, including symmetric ciphers, hash functions and data integrity, public-key encryption and digital signatures, key establishment, and key management. Applications to internet security, computer security, communications security, and electronic commerce will be studied.",waterloo
20,Literature and Research Studies,co690,,waterloo
21,Asymptotic Enumeration,co730,"Methods of obtaining asymptotic estimates for sums arising in enumeration. Application to Bell numbers, the distribution of balls into cells, and random graphs. Methods for obtaining asymptotic  estimates for the coefficients of generating functions. Application to random planar graph problems and to unimodality problems.",waterloo
22,Topics in Combinatorial Design,co734,,waterloo
23,Probabilistic Methods in Discrete Mathematics,co738,"The probabilitistic method proves the existence of a combinatorial structure by showing a random element in an appropriate probability space has the desired properties with positive probability. The course will introduce the basic techniques and give applications in graph theory, combinatorics, discrete optimization, theoretical CS. In particular, some of the following will be considered: linearity of expectation; alterations; the second moment method; bounding of large deviations; the local lemma; correlation inequalities; martingales and tight concentration; discrepancy; derandomization.",waterloo
24,Topics in Combinatorics,co739,,waterloo
25,Directed Graphs and Applications,co743,"An introduction to the concepts of directed graphs, problems about directed circuits and directed cuts, and minimax equalities relating these and other graphical objects.",waterloo
26,Graph Theory Algorithms,co745,"A general study of algorithms for the solutions of problems in graph theory. Included are algorithms for graph isomorphism, planarity, connectedness, chromatic number, spanning trees, circuits and many others.",waterloo
27,Topics in Graph Theory,co749,,waterloo
28,Topics in Combinatorial Optimization,co750,,waterloo
29,Topics in Matroid Theory,co751,,waterloo
30,Approximation Algorithms in Combinatorial Optimization,co754,"The course studies some of the successful paradigms for designing approximation algorithms and for proving approximation guaranteees, such as the greedy method, formulating and solving linear programming relaxations, the primal-dual method, randomized rounding, semidefinite programming relaxations, approximation of metrics. Also, the PCP theorem, and its application to the hardness of approximating specific problems, e.g., set covering and shortest lattice vector.",waterloo
31,Topics in Discrete Optimization,co759,,waterloo
32,Mathematical Programming,co765,,waterloo
33,Topics in Continuous Optimization,co769,,waterloo
34,Mathematical Operations Research,co771,,waterloo
35,Portfolio Optimization,co778,"Basic optimization: quadratic minimization subject to leanear equality constraints. Effecient portfolios: the efficient frontier, the capital market line, Sharpe ratios and threshold returns. Practical portfolio optimization: short sales restrictions target portfolios, transactions costs. Quadratic programming theory. Special purpose quadratic programming algorithms for portfolio optimization: today's large investment firms expect to solve problems with at least 1000 assets, transactions costs and various side constraints in just a few minutes of computation time. This requires very specialized QP algorithms. An overview of such algorithms will be presented with computational results from commercial problems. The efficient frontier, the capital market line, Sharpe ratios and threshold returns in practice.",waterloo
36,Topics in Operations Research,co779,,waterloo
37,Topics in Quantum Information,co781,,waterloo
38,Algorithmic Number Theory,co785,Fundamental problems of elementary and algebraic number theory from an algorithmic and computational complexity point of view with emphasis placed on analysis of algorithms. Topics include basic arithmetic algorithms; computation over finite fields; primality testing; algorithms for integer factorization; algorithms in number fields.,waterloo
39,Topics in Cryptography,co789,,waterloo
40,Seminar in Combinatorics,co839,,waterloo
41,Seminar in Graph Theory,co849,,waterloo
42,Seminar in Discrete Optimization,co859,,waterloo
43,Seminar in Continuous Optimization,co869,,waterloo
44,Seminar in Operations Research,co879,,waterloo
45,Fundamentals of Computer Science for Data Science,cs600,"This course is designed for Data Science MMath students who do not have an undergraduate degree in Computer Science. It provides these students with the background needed to take Data Science graduate courses with a strong computational flavour. Topics include the following. The design and operation of processors. Memory hierarchies. Basic concepts of operating systems, concurrency, parallelism, and networks. Elementary data structures and their use in algorithm design and analysis.",waterloo
46,Data-Intensive Distributed Analytics,cs631,"Introduces non-CS major students to infrastructure for data-sensitive analytics, with a focus on abstractions, frameworks, and algorithms that allow developers to distribute computations across many machines.  Topics include core concepts (partitioning, replication, locality, consistency), computational models (MapReduce, dataflows, stream processing, bulk-synchronous parallel), and applications.",waterloo
47,Security and Privacy in Health Systems,cs634,"An overview of basic security and privacy principles relevant in the design and use of applications in health settings.  Program security, operating system security, network security, data security, and issues related to the management of security and privacy policies are introduced.  Master of Health Informatics students only.",waterloo
48,Introduction to Computer Networks and Distributed Computer Systems,cs636,"An introduction to computer networks, Internet protocols, and distributed systems.  Layered models, naming, addressing and routing, reliable communication, security, and elements of distributed system design. Master of Health Informatics students only.",waterloo
49,Principles of Data Management and Use,cs638,"A user-oriented approach to the management of large collections of data.  Relational database technology, relational algebra, SQL, database views, transactions, data modelling methodology, entity-relationship models.  Introduction to several current topics in database research, such as warehousing, data mining, managing data streams, data cleaning, data integration, and distributed/parallel databases.  Master of Health Informatics students only.",waterloo
50,Principles of Programming Languages,cs642,"An exposure to important concepts and issues in contemporary programming languages. Data types, abstraction, and polymorphism. Program structure. Lambda calculus and functional programming, logic programming, object-oriented programming. Semantics of programming languages. Critical comparison of language features and programming methodologies using examples drawn from a variety of programming languages including Lisp, Prolog, ML, Ada, Smalltalk, Icon, APL, and Lucid. Programming assignments involve the use of some of these languages.",waterloo
51,Compiler Construction,cs644,"Phases of compilation. Lexical analysis and a review of parsing. Compiler-compilers and translator writing systems. LEX and YACC. Scope rules, block structure, and symbol tables. Runtime stack management. Parameter passage mechanisms. Stack storage organization and templates. Heap storage management. Intermediate code. Code generation. Macros.",waterloo
52,Software Requirements Specification and Analysis,cs645,"Introduces students to the requirements definition phase of software development: Models, notations, and processes for software requirements identification, representation, analysis, and validation.  Cost estimation from early documents and specifications.",waterloo
53,Software Design and  Architectures,cs646,"Introduces students to the design, implementation, and evolution phases of software development.  Software design processes, methods, and notation.  Implementation of designs. Evolution of designs and implementations.  Management of design activities.",waterloo
54,"Software Testing, Quality Assurance and Maintenance",cs647,"Introduces students to systematic testing of software systems.  Software verification, reviews, metrics, quality assurance, and prediction of software reliability and availability.  Related management issues.",waterloo
55,Database Systems Implementation,cs648,"The objective of this course is to introduce students to fundamentals of building a relational database management system.  The course focuses on the database engine core technology by studying topics such as storage management (data layout, disk-based data structures), indexing, query processing algorithms, query optimization, transactional concurrency control, logging and recovery.  Preference will be given to CS graduate students.  All other require permission from the school.",waterloo
56,Human-Computer Interaction,cs649,"An introduction to the fundamental theories, methods, and research in the design and evaluation of description:  novel computational artifacts designed to meet real-world human needs.",waterloo
57,Computer Architecture,cs650,"The course is intended to provide the student with an appreciation of modern computer design and its relation to system architecture, compiler technology and operating system functionality. The course places an emphasis on design based on the measurement of performance and its dependency on parallelism, efficiency, latency and resource utilization.",waterloo
58,Data-Intensive Distributed Computing,cs651,"Introduces students to infrastructure for data-intensive computing, with a focus on abstractions, frameworks, and algorithms that allow developers to distribute computations across many machines.  Topics include core concepts (partitioning, replication, locality, consistency), computational models (MapReduce, dataflows, stream processing, bulk-synchronous parallel), and applications.",waterloo
59,Real-Time Programming,cs652,"Intended to give students experience with tools and techniques of real-time programming, this course includes not only issues of microcomputer architecture and a real-time programming language and operating system, but also hands-on experience programming a microcomputer for applications such as process control, data acquisition and communication. .Preference will be given to CS graduate students.  All others require approval from the department.",waterloo
60,Distributed Systems,cs654,"An introduction to distributed systems, emphasizing the multiple levels of software in such systems. Specific topics include fundamentals of data communications, network architecture and protocols, local-area networks, concurrency control in distributed systems, recovery in distributed systems, and clock synchronization. Preference will be given to CS graduate students.  All others require approval from the department.",waterloo
61,Computer Networks,cs656,"An introduction to network architectures and protocols, placing emphasis on protocols used in the Internet.  Specific topics include application layer protocols, network programming, transport protocols, routing, multicast, data link layer issues, multimedia networking, network security, and network management.",waterloo
62,System Performance Evaluation,cs657,"Basic techniques of system performance evaluation. Specific topics include: performance modeling, discrete event simulation, verification and validation of simulation models, analysis of simulation output, analysis of single server queue and queueing networks, modeling of computer systems, networks, and other queueing or non-queueing systems.",waterloo
63,Computer Security and Privacy,cs658,"Security and privacy issues in various aspects of computing.  Specific topics include: comparing security and privacy, program security, writing secure programs, controls against program threats, operating system security, formal security models, network security, Internet application security and privacy, privacy-enhancing technologies, database security and privacy, inference data mining, security policies, physical security, economics of security, and legal and ethical issues.  (Note: Knowledge of operating systems equivalent to that obtained from CS 350 is assumed.)",waterloo
64,Formal Languages and Parsing,cs662,"Languages and their representations. Grammars-Chomsky hierarchy. Regular sets and sequential machines. Context-free grammars-normal forms, basic properties. Pushdown automata and transducers. Operations on languages. Undecidable problems in language theory. Applications to the design of programming languages and compiler construction.",waterloo
65,Computational Complexity Theory,cs664,"The classification of problems according to the computational resources required for their solution, with emphasis on properties of feasible computations rather than on specific algorithms. Topics include: time and space complexity, tractable and intractable problems, computation using randomness, parallel computation.",waterloo
66,Algorithm Design and Analysis,cs666,"Design of good algorithms and analysis of the resources they consume. Lower bounds on the resource requirements of algorithms to compute certain functions. Problems from the following areas are discussed in this light: sorting and order statistics, data structures, arithmetic computations, the NP-complete problems.",waterloo
67,Computational Linear Algebra,cs675,"Basic concepts and implementation of numerical linear algebra techniques and their use in solving application problems.  Special methods for solving linear systems having special features.  Direct methods: symmetric, positive definite, band, general sparse structures, ordering methods.  Iterative methods: Jacobi, Gauss-Seidel, SOR, conjugate gradient.  Computing and using orthogonal factorizations of matrices.  QR and SVD methods for solving least squares problems.  Eigenvalue and singular value decompositions.  Computation and uses of these decompositions in practice.",waterloo
68,Numeric Computation for Financial Modelling,cs676,"The interaction of financial modes, numerical methods, and computing environments.  Basic computational aspects of option pricing and hedging. Numerical methods for stochastic differential equations, strong and weak convergence.  Generating correlated random numbers.  Time-stepping methods.  Finite difference methods for Black-Scholes equation.  Discretization, stability, convergence.  Methods for portfolio optimization, effect of data errors on portfolio weights. (Heldwith CS 476).",waterloo
69,Introduction to Machine Learning,cs680,"Introduction to modeling and algorithmic techniques for machines to learn concepts from data.  Generalization:  underfitting, overfitting, cross-validation. Tasks: classification, regression, clustering.  Optimization-based learning:  loss minimization, regularization.  Statistical learning: maximum likelihood, Bayesian learning.  Algorithms: nearest neighbor, (generalized) linear regression, mixtures of Gaussians, Gaussian processes, kernel methods, support vector machines, deep learning, sequence learning, ensemble techniques.  Large scale learning:  distributed learning and stream learning.  Applications: Natural language processing, computer vision, data mining, human computer interaction, information retrieval.",waterloo
70,Computational Techniques in Biological Sequence Analysis,cs682,"Computer science principles and algortihms in biological sequence analysis.  Topics include algotithms for sequence comparison, for large-scale database search in biological databases, for sequence assembly, for evolutionary tree reconstruction, for identifying important featrues in DNA and RNA sequences, and underlying computational techniques for understanding strings and trees and for making probabilistic inferences. (Heldwith CS 482).",waterloo
71,Computational Vision,cs684,"Introduction to image and vision understanding by computer.  Camera-system geometry, image formation and lighting, and image acquisition.  Basic visual processes for recognition of edges, regions, lines, and surfaces.  Processing of stereo images, and motion in image sequences.  Object recognition.  Applications of computer vision systems.",waterloo
72,Machine Learning: Statistical and Computational Foundations,cs685,"Extracting meaningful patterns from random samples of large data sets.  Statistical analysis of the resulting problems. Common algorithm paradigms for such tasks.  Central concepts: VC-dimension, Margins of classifier, Sparsity and description length.  Performance guarantees: Generalization bounds, data dependent error bounds and computational complexity of learning algorithms.  Common paradigms: Neural networks, Kernel methods and Support Vector machines, Applications to Data Mining.",waterloo
73,Introduction to Artificial Intelligence,cs686,Goals and methods of artificial intelligence. Methods of general problem solving. Introduction to mathematical logic Mechanical theorem proving. Game playing. Natural language processing. Preference will be given to CS graduate students.  All others require approval from the department. Department approval will be by Undergraduate Advisor.,waterloo
74,Introduction to Symbolic Computation,cs687,"An introduction to the use of computers for symbolic mathematical computation, involving traditional mathematical computations such as solving linear equations (exactly), analytic differentiation and integration of functions, and analytic solution of differential equations.",waterloo
75,Introduction to Computer Graphics,cs688,"Software and hardware for interactive computer graphics. Implementation of device drivers, 3-D transformations, clipping, perspective, and input routines. Data structures, hidden surface removal, colour shading techniques, and some additional topics will be covered. Preference will be given to CS graduate students.  All others require approval from the department.",waterloo
76,Literature and Research Studies,cs690A,This is an individual study course carried out under the supervision of a Computer Science faculty member. The topic should be agreed upon by both the student and the instructor. This is a credit/no credit course. Department permission will be by Coordinator of Graduate Studies.,waterloo
77,Literature and Research Studies,cs690B,This is an individual study course carried out under the supervision of a Computer Science faculty member. The topic should be agreed upon by both the student and the instructor. This is a grade course. Department permission will be by Coordinator of Graduate Studies.,waterloo
78,The Social Implications of Computing,cs692,"This course is designed to consider the problems encountered by individuals, organizations and society as computer technology is adopted, with a view towards assessing possible courses of action.",waterloo
79,Graduate Research Skills Seminar,cs697,"Research and life skills that can help graduate students improve their academic and interpersonal competence-research methodologies, library research skills, creative and critical thinking, time management, stress management, technical reading skills, listening skills, oral communication, writing and publishing in computer science, jobs in academica versus industry.",waterloo
80,Introductory Research Topics,cs698,"This number is used for courses being offered on a temporary basis. Such a course may be available only once, for example to take advantage of a visiting professor's expertise, or may be offered experimentally until it is determined whether of not the course should become part of the regular course offerings. It may also be used for an individual study course carried out under the supervision of a Computer Science faculty member with the approval from the Associate Chair, Graduate Studies. This is a grade course. Preference will be given to CS graduate students.  All others require approval of the Department.",waterloo
81,Database Engineering,cs740,Project-oriented course that covers the implementation of relational database management systems. Topics include database system architecture; managing primary and secondary storage; query processing; metadata and catalog management; language processing; query optimization and plan generation; concurrency; failures and recovery; extensibility; client-server interactions.,waterloo
82,Non-Traditional Databases,cs741,"Management of non-relational databases, such as multimedia databases, text databases, temporal databases or spatial databases. Each offering will target a specific type of data. Topics include rationale for and common applications of non-relational database management; systems and standards; the abstract data model; data definition and manipulation languages; data storage and indexing; query processing and optimization; updates and transaction management.",waterloo
83,Parallel and Distributed Database Systems,cs742,"Algorithms and architectures used in parallel database management systems, with a focus on relational systems. Topics include system architectures; parallel and distributed query processing; federated dtabase systems; distributed transactions; data replication.",waterloo
84,Principles of Database Management and Use,cs743,"An overview of relational databases and how they are used; exposure to relational database technology.  Fundamentals of transactions.  Database views. Introductions to two or three alternative data models and systems, such as those used for structured text, spatial data, multimedia data, and information retrieval.  Introduction to several current topics in database research, such as warehousing, data mining, managing data streams, data cleaning, data integration, and distributed databases.",waterloo
85,Advanced Compiler Design,cs744,"Project-oriented course that covers optimizing compilers and the implementation of advanced programming language features. Topics include intermediate representations; data-flow, dependence, and alias analysis; optimizing transforms, register allocation, instruction scheduling; memory management, garbage collection, threads, concurrency; single and multiple inheritance, generics, templates, type inference.",waterloo
86,Computer-Aided Verification,cs745,Application of formal methods to the verification of computer-based systems. Algebraic and automata preliminaries. Temporal logic and model checking. Decision procedures. Mechanized theorem proving. Advanced topics chosen by the instructor.,waterloo
87,Software Architecture,cs746,"A project-oriented course that covers the concepts in software architecture. Topics include basic concepts (components and connectors, rationale, views, architectural diagrams, team implictions, evolution, size considerations), theory underlying softeware architecture, extraction of architecture from implementation artifacts, architecture of web-based and enterprise systems, clustering of subsystems, visualization approaches to software architecture, comprehension and cognitive aspects of software architecture.",waterloo
88,Advanced Distributed Systems,cs754,"This course provides a broad discussion of advanced topics in modern distributed systems. The course will discuss the state of the art of these systems and how and why they reached there. The course will discuss current data center hardware and software architecture, communication middleware, and how modern systems can tolerate failures, maintain data consistency, scale, leverage the new hardware capabilities, and exploit highly concurrent hardware.",waterloo
89,System and Network Architectures and Implementation,cs755,"Distributed, multi-user applications are designed and implemented using many underlying technologies that must be coordinated to provide important features such as robustness, scalability, manageability, ubiquitous access, privacy, security, authentication, and role-based access control, to name only a few.  The network supporting the application may be crucial to its successful implementation.  The application logic itself is likely implemented in a number of languages and programming environments.  Students will be provided with an advanced overview of current networking and distributed systems topics, and will apply it to case studies drawn form consumer internet applications, enterprise systems, and medical and healthcare systems.",waterloo
90,Cryptography/Network Security,cs758,"Cryptographic protocols and their application to secure communication, especially in a network setting. Identification and entity authentication; protocols for key establishment, transport, agreement and maintenance; secret sharing, broadcast encryption, tracing schemes; certificates, public-key infrastructure, PGP.",waterloo
91,Randomized Algorithms,cs761,Introduction to the design and analysis of algorithms that make use of randomization. Topics include review of basic probabiloity and introduction to randomized algorithms; game theoretic techniques; uses of Markov and Chebyshev inequalities; tail inequalities; Markov chains and random walks; algebraic techniques; data structures and graph algorithms.,waterloo
92,Graph-Theoretic Algorithms,cs762,"Further exposure to the design, analysis and application of algorithms for problems defined on graphs. Topics include planarity testing and embedding; classes of planar graphs and fast algorithms for them; trees and tree-like graphs (bounded pathwidth and treewidth);  perfect graphs and intersection graphs.",waterloo
93,Computational Geometry,cs763,"Introduction to the design, analysis and application of algorithms for geometric problems. Topics include convex hull algorithms in two and three dimensions; Voronoi diagrams, Delaunay triangulations, and their applications; linear programming in low dimensions; line segments, planar subdivision, and polygons; range searching.",waterloo
94,Computational Complexity,cs764,"Further exposure to the classification of problems based on their computational requirements and to mathematical tools designed to explore the structural consequences of such classifications. Topics include relativization, alternation, provably intractable problems, feasible parallel computation; fixed-parameter tractability and the W-hierarchy; Kolmogorov complexity, including algorithmic and algorithmic prefix complexity and their applications.",waterloo
95,Algorithmic Number Theory,cs765,Fundamental problems of elementary and algebraic number theory from an algorithmic and computational complexity point of view with emphasis placed on analysis of algorithms. Topics include basic arithmetic algorithms; computation over finite fields; primality testing; algorithms for integer factorization; algorithms in number fields.,waterloo
96,Theory of Quantum Information,cs766,"Fundamentals of quantum information theory including states, measurements, operations, and their representations as matrices; measures of distance between quantum states and operations; quantum Shannon theory including von Neumann entropy, quantum noiseless coding, strong subadditivity of von Neuman entropy, Holevo's Theorem, and capabilities of quantum channels; theory of entanglement including measures of entanglement, entanglement transformation, and classifications of mixed-state entanglement; other topics in quantum information as time permits.",waterloo
97,Advanced Logic for Computer Science,cs767,"The course provides extended background in mathematical logic and its applications to various branches of computer science.  It covers some fundamental concepts such as soundness and completeness theorems, compactness, the expressive power of a logic and the computational complexity of its basic decision problems.  These concepts are being demonstrated on first order logic and modal logics.  Finally the course discusses examples of applications of these concepts and tools to formal reasoning about programs and about hardware, to data bases, and to knowledge representation.",waterloo
98,Quantum Information Processing,cs768,"Review of basics of quantum information and computational complexity; Simple quantum algorithms; Quantum Fourier transform and Shor factoring algorithm: Amplitude amplification, Grover search algorithm and its optimality; Completely positive trace-preserving maps and Kraus representation; Non-locality and communication complexity; Physical realizations of quantum computation: requirements and examples; Quantum error-correction, including CSS codes, and elements of fault-tolerant computation; Quantum cryptography; Security proofs of quantum key distribution protocols; Quantum proof systems.  Familiarity with theoretical computer science or quantum mechanics will also be an asset, though most students will not be familiar with both.",waterloo
99,Numerical Analysis,cs770,"Introduction to basic algorithms and techniques for numerical computing.  Error analysis, interpolation (including splines), numerical differentiation and integration, numerical linear algebra (including methods for linear systems, eigenvalue problems, and the singular value decomposition), root finding for nonlinear equations and systems, numerical ordinary differential equations, and approximation methods (including least squares, orthogonal polynomials, and Fourier transforms).",waterloo
100,Advanced Computational Finance,cs774,"Option pricing, hedging, model calibration, and portfolio optimization will be discussed.  Computational methods, including PDE methods, Monte Carlo, and mathematical programming will be presented.",waterloo
101,Parallel Algorithm in Scientific Computing,cs775,"Techniques for obtaining maximum parallelism in various numberical algorithms, especially those occurring when solving matrix problems and partial differential equations, and the subsequent mapping onto the computer. Topics include: parallel architecture and performance models; message passing/shared memory programming; matrix computations; fast Fourier transform; graph partitioning; domain decomposition methods.",waterloo
102,Numerical Solution of Partial Differential Equations,cs778,"Discretization methods for partial differential equations, including finite difference, finite volume and finite element methods. Application to elliptic, hyperbolic and parabolic equations. Convergence and stability issues, properties of discrete equations, and treatment of non-linearities. Stiffness matrix assembly and use of sparse matric software. Students should have completed a course in numerical computation at the undergraduate level.",waterloo
103,Splines and Their Use in Computer Graphics,cs779,"Spline theory and recent developments in techniques for representing, manipulating and rendering curves and surfaces constructed from splines in a graphic environment. Applications of interest include computer-aided design, synthetic image generation and animation.",waterloo
104,Advanced Symbolic Computation,cs780,"A deep investigation into fundamental problems of symbolic computation. These may include algorithms for linear, non-linear, and differential systems of symbolic equations, symbolic integration, factoring polynomials, and symbolic-numeric algorithms. Covers the basic data types and structures for algebraic objects and operations. Issues in the design of computer algebra systems.",waterloo
105,Colour in Computer Graphics,cs781,"In computer graphics, 3D models are rendered through an ideal camera to a 2D image. The virtual camera is a powerful tool, controlling not only perspective and the optical path, but colour mapping as well. This course examines the notion of ""colour"" at different stages of the computer graphics pipeline, and describes techniques for modelling and managing colour through the virtual camera analogy. Topics include illumination, the virtual camera, colour spaces, gamut mapping and colour management. Implementation of the colour reproduction and gamut-mapping algorithms demands a number of numerical and statistical methods, including multidimensional interpolation and approximation, computational geometry, splines, principal components anlysis and optimization.",waterloo
106,Pattern Discovery in Biomolecular Data,cs782,"This course examines, from an algorithmic point of view, the pattern discovery techniques that are currently used to extract the functional knowledge hidden in biomolecular data that is derived from DNA, RNA, proteins and their reaction products. Topics include: DNA sequence analysis, RNA structure prediction techniques, protein motif discovery techniques, protein structure prediction, analysis of expression data.",waterloo
107,Computer Modeling of Biophysical Phenomena,cs783,"This course addresses the computer (in silico) simulation of biophysical processes involved in the interaction of light with organic and inorganic matter.  Computer models used to simulate these processes are presented, and key stages of the simulation pipeline, such as data gathering, design constraints and evaluation methodologies, are examined in detail.  This course also includes discussions of open problems and current trends in the computer simulation of biophysical processes.  Application fields include, but are not limited to computer graphics, remote sensing, biology and biomedical optics.",waterloo
108,Computational Linguistics,cs784,"Computer understanding and generation of natural (i.e., human) languages. Basic topics in natural language understanding (syntax, semantics, pragmatics, connected discourse). Selected applications (e.g., automated language generation, machine translation, natural language processing and the Web).",waterloo
109,Intelligent Computer Interfaces,cs785,"Intelligence in interfaces-natural language processing, plan recognition, dialogue, generation, user modeling. Interfaces to intelligent systems-intelligent agents and multi-agent systems, information processing and data mining, knowledge-based systems.",waterloo
110,Probabilistic Inference and Machine Learning,cs786,"Covers the fundamental principles of probabilistic inference and computational learning systems. Topics include Bayes decision and utility theory, Monte Carlo and Markov chain Monte Carlo methods; learning with complete data; Bayesian networks, Markov random fields and factor graphs; models; learning with incomplete data; computational learning and PAC learning theory.",waterloo
111,Computational Vision,cs787,Fundamental problems in computational vision where efficient and robust algorithms can be applied. Topics include image formation; linear systems and Fourier theory; image registration; feature detection; fitting models to data; optical flow; structure from motion; steriopsis; object recognition; high-level vision.,waterloo
112,High-Performance Image Synthesis,cs788,Project-oriented course that covers high-performance image synthesis using techniques for both real-time interactive systems and offline physically-based rendering. Topics include numerical techniques; visual perception and light; mathematical models of rendering; global illumination algorithms; real-time rendering.,waterloo
