,employer,link,location,position_title,salary,excel,python,r,java,c,c++,matlab,sas,sql,tableau,hadoop,spark,power bi,tensorflow,keras,pytorch,theano,caffe,communication,problem solving,project management,consulting,presentation,leadership,documentation,marketing,lead,time management,collaborate,organize
19,ADGA Group,https://job-openings.monster.ca/etl-developer-toronto-on-ca-adga-group/221634024,"Toronto, ON",ETL Developer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ISG Search Inc,https://job-openings.monster.ca/senior-manager-data-analytics-toronto-on-ca-isg-search-inc/221209673,"Toronto, ON","Senior Manager, Data Analytics",,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Randstad,https://job-openings.monster.ca/business-data-architect-vancouver-bc-ca-randstad/221261022,"Vancouver, BC",Business Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,T.E.S. Employment Solution,https://job-openings.monster.ca/analytics-developers-dev-ops-advanced-analytics-data-science-regina-sk-ca-t-e-s-employment-solution/221886957,"REGINA, SK",Analytics Developers (Dev Ops/Advanced Analytics/Data Science),,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Hays,https://job-openings.monster.ca/software-engineering-toronto-on-ca-hays/221506380,"Toronto, ON",Software Engineering,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Procom,https://job-openings.monster.ca/cognos-etl-programmer-developer-toronto-on-ca-procom/221800438,"Toronto, ON",Cognos/ETL Programmer Developer,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,Intellex Systems Group,https://job-openings.monster.ca/informatica-etl-developer-toronto-on-ca-intellex-systems-group/221512213,"Toronto, ON",Informatica ETL Developer,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,Eagle Professional Resources Inc,https://job-openings.monster.ca/programmer-developer-toronto-gta-on-ca-eagle-professional-resources-inc/221633068,"Toronto/GTA, ON",Programmer/Developer,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,"Modis, Inc.",https://job-openings.monster.ca/quality-assurance-tester-database-sql-calgary-ab-ca-modis-inc/221174840,"Calgary, AB","Quality Assurance Tester (Database, Sql)",,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Randstad,https://job-openings.monster.ca/data-scientist-analyst-level-2-fraud-detection-toronto-on-ca-randstad/221247019,"Toronto, ON",Data Scientist/Analyst Level 2 (Fraud Detection),,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Procom,https://job-openings.monster.ca/senior-etl-developer-toronto-on-ca-procom/221633745,"Toronto, ON",Senior ETL Developer,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,Eagle Professional Resources Inc,https://job-openings.monster.ca/etl-developer-calgary-ab-ca-eagle-professional-resources-inc/221424185,"Calgary, AB",ETL Developer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Randstad,https://job-openings.monster.ca/programmer-developer-etl-level-3-toronto-on-ca-randstad/221685542,"Toronto, ON",Programmer/Developer (ETL) - Level 3,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,Procom,https://job-openings.monster.ca/senior-etl-developer-calgary-ab-ca-procom/221422187,"Calgary, AB",Senior ETL Developer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33,Reesby IT,https://job-openings.monster.ca/machine-learning-artificial-intelligence-internship-data-science-bc-ca-reesby-it/c063cd6c-2805-4b8d-99d0-015d356c6749,BC,Machine Learning Artificial Intelligence Internship (Data Science),,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Georgian College,https://job-openings.monster.ca/part-time-professor-artificial-intelligence-barrie-on-ca-georgian-college/fe14e70d-7eb9-411c-8c32-6cc08d06cd21,"Barrie, ON",Part-Time Professor - Artificial Intelligence,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Bombardier,https://job-openings.monster.ca/product-owner-artificial-intelligence-digital-montreal-dorval-qc-ca-bombardier/a15e29c7-2eec-4ebf-8b68-513d32478cba,"Montreal Dorval, QC",Product Owner - Artificial Intelligence Digital,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Textron,https://job-openings.monster.ca/développeur-logiciel-intégration-systèmes-et-intelligence-artificiel-ia-innovation-mirabel-qc-software-developper-systems-intégration-artificial-inteligence-innovation-mirabel-qc-mirabel-ca-textron/aab9c020-bf6e-48d0-b55f-f9012059c01a,Mirabel,"Développeur logiciel Intégration systèmes  et  Intelligence Artificiel (IA) - Innovation (Mirabel,QC) / Software Developper, Systems intégration and Artificial Inteligence-  Innovation ( Mirabel,QC)",,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,Bombardier,https://job-openings.monster.ca/product-owner-artificial-intelligence-digital-montreal-dorval-qc-ca-montreal-dorval-qc-ca-bombardier/816bdb4d-2304-4159-9e1a-2549d2882310,"Montreal Dorval, QC","Product Owner - Artificial Intelligence Digital (Montreal Dorval, QC, CA)",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
38,Deloitte,https://job-openings.monster.ca/manager-azure-data-architect-omnia-ai-vancouver-vancouver-bc-ca-v7x-1p4-vancouver-bc-ca-deloitte/0e64cf90-6fd2-4845-8559-9a21a62ebc46,"Vancouver, BC","Manager / Azure Data Architect, Omnia AI, Vancouver (Vancouver, BC, CA, V7X 1P4)",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,Goldman Sachs,https://job-openings.monster.ca/machine-learning-engineer-core-engineering-toronto-on-ca-goldman-sachs/73697c23-e149-48d1-8090-49d778f5b2d9,"Toronto, ON",Machine Learning Engineer - Core Engineering,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,Facebook,https://job-openings.monster.ca/research-intern-machine-perception-learning-phd-remote-ca-facebook/9e5ed934-9076-494b-a5ef-bb6ff1c4eabd,Remote,"Research Intern, Machine Perception & Learning (PhD)",,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Blackberry Limited,https://job-openings.monster.ca/senior-principal-machine-learning-engineer-waterloo-on-ca-blackberry-limited/041b6c67-5f71-48d7-aedf-31bbb3292fc9,"Waterloo, ON",Senior/ Principal Machine Learning Engineer,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
42,SOTI,https://job-openings.monster.ca/ai-architect-mississauga-on-ca-soti/c201132d-57fa-43f2-9d92-cc163ce4dca8,"Mississauga, ON",AI Architect,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,Twenty Billion Neurons GmbH,https://job-openings.monster.ca/mobile-device-a-i-engineer-co-op-toronto-on-ca-twenty-billion-neurons-gmbh/a51ff1d8-a41a-409c-900f-4f3c3be3e046,"Toronto, ON",Mobile Device A.I. Engineer (co-op),,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,EMAGIN,https://job-openings.monster.ca/machine-learning-engineer-kitchener-on-ca-emagin/61bf0233-ce4b-4661-aae4-91b2c62c76a8,"Kitchener, ON",Machine Learning Engineer,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Knowtions Research,https://job-openings.monster.ca/machine-learning-engineer-toronto-on-ca-knowtions-research/12d2b2f4-2f50-4895-9657-b1efedba62d9,"Toronto, ON",Machine Learning Engineer,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,h2o.ai,https://job-openings.monster.ca/ml-ai-customer-engineer-ottawa-ontario-ca-h2o-ai/1ce360c6-c45a-4d76-bcc6-4c9b7f9e2baa,Ontario,ML / AI Customer Engineer (Ottawa),,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Globalme Localization,https://job-openings.monster.ca/annotator-for-machine-learning-latin-american-spanish-vancouver-bc-ca-globalme-localization/08b14e0d-0792-4158-9f30-b6ab896eeb31,"Vancouver, BC",Annotator for Machine Learning (Latin American Spanish),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Global Relay,https://job-openings.monster.ca/intermediate-senior-backend-developer-analytics-machine-learning-vancouver-bc-ca-global-relay/79fbc0ff-36a7-47ff-9172-e601661fc125,"Vancouver, BC","Intermediate/Senior Backend Developer, Analytics and Machine Learning",,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
49,Cisco,https://job-openings.monster.ca/data-architect-montreal-ca-cisco/dccca943-4192-438f-bc3c-7568b6763c14,Montreal,Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50,050 Best Buy Canada Ltd.,https://job-openings.monster.ca/e-commerce-manager-12-months-vancouver-bc-ca-050-best-buy-canada-ltd/221925878,"Vancouver, BC",E-Commerce Manager (12 Months),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
51,"Tonal Systems Canada, ULC",https://job-openings.monster.ca/operations-manager-toronto-on-ca-tonal-systems-canada-ulc/221630240,"TORONTO, ON",Operations Manager,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"Apisero, Inc.",https://job-openings.monster.ca/salesforce-sr-solution-architect-vancouver-bc-ca-apisero-inc/221971122,"Vancouver, BC",Salesforce Sr. Solution Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
53,PAT_RTP Testing Account,https://job-openings.monster.ca/senior-data-architect-calgary-ab-ca-pat-rtp-testing-account/4dd8a041-9f10-44d0-8880-525d84b3d53f,"Calgary, AB",Senior Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,NextRow Digital,https://job-openings.monster.ca/machine-learning-engineer-toronto-on-ca-nextrow-digital/9aef8ac4-1e2a-4c06-8831-081f2a5bc8b6,"Toronto, ON",Machine Learning Engineer,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Spirit Staffing and Consulting Inc.,https://job-openings.monster.ca/data-architect-ca-spirit-staffing-consulting-inc/b718ce12-60a9-4080-93d1-5d2302773e47,,Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,Fellowship.AI,https://job-openings.monster.ca/machine-learning-fellowship-toronto-sep-2020-toronto-on-ca-fellowship-ai/7886e0db-7572-40e2-bcc1-d726872eac94,"Toronto, ON",Machine Learning Fellowship Toronto- Sep 2020,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Nuagem,https://job-openings.monster.ca/cp3-data-architect-montreal-qc-ca-nuagem/67650b2c-db49-4153-8547-35a9d403465f,"Montreal, QC",CP3 Data Architect,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
58,Goldman Sachs,https://job-openings.monster.ca/machine-learning-engineer-core-engineering-toronto-on-ca-goldman-sachs/35592a2e-299c-4821-bb48-1c7e6d01ed0e,"Toronto, ON",Machine Learning Engineer - Core Engineering,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,Deloitte,https://job-openings.monster.ca/manager-omnia-ai-product-manager-toronto-on-ca-m5c-3g7-toronto-on-ca-deloitte/c87bddcf-e08d-4b39-8629-9864ba3186d2,"Toronto, ON","Manager, OMNIA AI Product Manager (Toronto, ON, CA, M5C 3G7)",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,Facebook,https://job-openings.monster.ca/research-scientist-ai-montreal-ca-facebook/2532dd9a-b226-441c-b1a3-297f3ac55a51,Montreal,"Research Scientist, AI",,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
61,Nuagem,https://job-openings.monster.ca/cp3-data-architect-montreal-qc-ca-nuagem/466180fb-e06f-4871-bd70-b39c3ac7bb4d,"Montreal, QC",CP3 Data Architect,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
62,Deloitte,https://job-openings.monster.ca/senior-consultant-ai-strategy-omnia-ai-montreal-qc-ca-h3b-4t9-montreal-qc-ca-deloitte/574e73ff-faaf-45cd-831f-6562c09b277b,"Montreal, QC","Senior Consultant, AI Strategy, Omnia AI (Montreal, QC, CA, H3B 4T9)",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
