,location,company,job_title,salary,job_description
87,"Toronto, ON",SoundHound Inc.,"Senior Machine Learning Scientist, Natural Language Processi...",NA,"You would join a team working on cutting edge Voice AI Research. You would work on delivering Machine Learning / Natural Language Processing models with State-Of-The-Art accuracy. Our team's work is integral to SoundHound's Voice AI solution. Your work will have a big impact on the Product & Business.

In this role you will:
Research state-of-the-art methods in language modeling and related natural language processing problems
Prototype novel methods and productionize promising methods
Mentor other team members and teach them what you have learned about best research practices
We would love to hear from you if:
You have at least 3 years of relevant industry experience
You have a Ph.D. in Computer Science or in a related quantitative discipline
You have publications or extensive research work in natural language processing
You are adept at machine learning algorithms
You take pride in writing clean Python, Java or C++ code
Even better if:
You have experience training deep neural network models on GPU clusters
You have publications or research work in applying deep learning methods to natural language processing
You possess deep fluency in academic fields relevant to statistical language models

At SoundHound Inc., we believe every brand should have a voice. As the leading innovator of conversational technologies, we're trusted by top brands around the globe. Houndify, our independent Voice AI platform, with 70,000+ users, allows brands to create custom voice assistants that deliver results with unprecedented speed and accuracy.

Our mission is to enable humans to interact with the things around them in the same way we interact with each other: by speaking naturally. We're making that a reality through our SoundHound music discovery app and Hound voice assistant and through our strategic partnerships with brands like Mercedes-Benz, Hyundai, Deutsche Telekom, and Pandora. Today, our customized voice AI solutions allow people to talk to phones, cars, smart speakers, mobile apps, coffee machines, and every other part of the emerging 'voice-first' world.

Our diverse team of engineers, UX/UI designers, writers, data scientists and linguists are all passionate about creating a world with more conversations. With more than 14 years of expertise in voice technology, we have hundreds of millions of end users, and a worldwide team in six countries building solutions for a voice-first world.

Resume/CV and cover letter need to be submitted in English in order for your application to be considered."
88,"Montréal, QC",McKinsey & Company,Senior Data Scientist - QuantumBlack,NA,"QUALIFICATIONS
Post-graduate degree in machine learning, computer science, statistics, mathematics, engineering or related field
Programming experience in languages such as R or Python
Experience in implementing statistical modelling and machine learning methods
Experience in applying data science methods to commercial problems
Some R&D experience in machine learning, statistics, or reinforcement learning
Extensive experience with deep learning frameworks such as Tensorflow or PyTorch is essential
Good presentation and communication skills, with a knack for explaining complex analytical concepts to people from
Flexibility to travel to client locations across North America
WHO YOU'LL WORK WITH
As a data scientist at QuantumBlack, you will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.
Who you are
You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritizing impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly.
WHAT YOU'LL DO
As a Senior Data Scientist at QuantumBlack in Montreal...
You will solve the hardest business problems with our clients in multiple industries worldwide while leading research and development of state-of-the-art Machine learning and statistical methods.
You will play a leading role in bringing the latest advances in deep learning to the world economy, collaborating with industry executives and QuantumBlack experts to find and execute opportunities to improve business performance using data and advanced machine learning models.
The role is ideal for a candidate with a strong R&D background in Machine Learning, combined with a passion for bringing the latest research to real applications. We welcome candidates interested in transitioning from a pure academic R&D background into an applied industry role.
You will also have the opportunity to grow a team of Data Scientists in Montreal that will live at the intersection of R&D and practical application of AI at scale, while collaborating with Data Science experts from other QuantumBlack hubs in Boston, Chicago, London, Sidney, and Sao Paolo.
Role responsibilities
Identify Machine Learning R&D initiatives that have a high potential of applicability in industry.
Work with Quantumblack leadership and Client executives to understand business problems and map them to state-of-the-art analytics and AI solutions.
Use the latest advances in Deep Learning, Reinforcement Learning, and AI, to solve business problems and derive key insights across various industry sectors including Formula 1, pharma, automotive and high-tech.
Work with the recruiting team to build an R&D focused team of data scientists in Montreal.
Build and maintain strong links with the academic world and constantly share ideas and stay ahead of the curve on the latest methods.
Mentor other data scientists and help them grow their knowledge and skills.
Work closely with Data Engineers, Machine Learning Engineers and Designers to build end-to-end analytics solutions for our clients that drive real impact in the real world.
Influence and help shape the R&D roadmap for QuantumBlack, especially on Deep Learning.
Work in a multi-disciplinary environment mixing highly skilled people in data science, data engineering, business and design.
Perhaps most importantly, you will work in one of the most talented and diverse data science teams in the world.
Please submit your CV in English
Visit our Careers site to watch our video and read about our interview processes and benefits."
90,"Waterloo, ON",Google,"Manager, Data and Analytics, Google Cloud Support",NA,"Minimum qualifications:

Bachelor's degree with a quantitative focus (e.g., Computer Science, Engineering, Management Information Systems, Statistics, Economics, Mathematics, Physics, Accounting, related area), or equivalent practical experience.
7 years of experience managing data and analytics programs.
3 years of people management experience.


Preferred qualifications:

MBA or Master's degree with a quantitative focus (e.g., Computer Science, Engineering, Management Information Systems, Statistics, Economics, Mathematics, Physics, Accounting, related area).
Experience in R, Python or other analytical or statistical/ML programming, with the ability to apply machine learning methods to solve real-world problems.
Experience analyzing data, creating reports and working with SQL.
Previous experience in analytics, business intelligence reporting, data science, or data warehousing.
Ability to collaborate with stakeholders across different functions to manage change and drive continuous improvement initiatives.
Excellent communication skills and executive presence to influence colleagues and manage business priorities.
About the job
Our Google Cloud Support Data and Analytics team is responsible for all data needs of Google Cloud Support services, a large global support team assisting customers around the globe. As a Manager on our Data and Analytics team, you'll lead a technical team of business analysts and data scientists which is an integral part of our Support team. You will work closely with Cloud Support functional leads and their teams, and be responsible for collaborating with technology partners for data, tools and dashboard development.
Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.
Responsibilities
Manage and grow a team of business analysts and data scientists.
Develop tools and insights for wider organization and clearly communicate results of complex technical work.
Manage the day-to-day operations and work to solve time-constrained problems while simultaneously creating a well-aligned longer-term roadmap for data and analytics.
Coordinate and own data programs across customer and product Support areas, including analytical decision-making, reporting and predictive analytics.
Consult with stakeholders on data and technical issues based on in-depth business and technical knowledge, providing guidance on technical implementation feasibility. Share findings and recommendations with the support leadership team and other key stakeholders.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
92,"Calgary, AB",The University of Calgary,"Senior Data Scientist, Pathology & Laboratory Medicine, Cumm...",NA,"Position Overview
The Department of Pathology & Laboratory Medicine in the Cumming School of Medicine invites applications for a Senior Data Scientist. This Full-time Fixed Term position is for approximately 12 months (based on length of grant funding), with the possibility of extension.
The University of Calgary will be working with Alberta Precision Laboratories to develop a database for high throughput sequencing data that interacts with bioinformatics pipelines and a user interface which will provide results to clinicians and public health professionals. Creation of this infrastructure will have direct application to public health and potentially clinical diagnostics for infectious diseases.
Reporting to the Principal Investigator.

Position Description
Summary of Key Responsibilities (job functions include but are not limited to):
Database Research, Development and Maintenance
Responsible for implementing technical solutions, and make relevant recommendations
Able to organize and format genomics data for efficient query and storage processes
Evaluate data for completeness, accuracy and integrity. Design and apply techniques like scripting to clean non-uniform data, or text mining to derive high-quality information
Analyze and identify relationships and trends in data, as well as any factors that could affect the results
Plan, source, evaluate, formulate, design, implement and document processes to collect, analyze and share relevant data in an efficient, meaningful and secure manner
Develop new tools to manage database and database server provisioning
Develop database scripting solutions for routine reporting and metrics
User interface development (Django framework, Bootstrap and Jquery)
Facilitate data extraction transformation and load processes to support application change
Conduct user acceptance testing to ensure the database system can be used easily, quickly and accurately
Communication and Collaboration
Establishes and maintains effective, productive relationships with staff, peers, immediate supervisor and senior management and with the campus community
Demonstrated strong communication, team and customer service skills, and an ability to exercise judgment within established guidelines
Coordinate meetings with stakeholders to understand their data requirements and make recommendations on how-to achieve information needs
Engage in outside-the-box thinking to provide high value-of-service to clients
Proactively ensure development standards and best practices are adhered to
Qualifications / Requirements:
Degree in Computer Science, or equivalent experience with considerable focus in web development and database architecture,
Master's degree an asset
Degree in Bioinformatics an asset
Minimum 5 years of experience in database development
Minimum 5 years of experience with software development
Critical thinking and problem solving skills with the ability to exercise sound judgment and make solid recommendations
Advanced programming skills in Python, C++ and R programming languages as well as extensive experience running and modifying software from various programming languages
Strong documentation and communication skills
Proficiency in database development using SQL and NoSQL database software for genomic data required
Experience developing visualization tools to help researchers retrieve data effectively
Strong skills in data management using a combination of SQL and a common scripting language like Python
Demonstrable experience developing python based web applications using Django or Flask frameworks
Experience with the GIT and Git Flow Version Control Paradigms
Proficiency in Linux operating system administration
Application Deadline: November 24 2020
We would like to thank all applicants in advance for submitting their resumes. Please note, only those candidates chosen to continue on through the selection process will be contacted.
Additional Information
This position is part of the AUPE bargaining unit, and falls under the Technical Job Family, Phase III.
To find out more about management and staff opportunities at the University of Calgary and all we have to offer, view our Management and Staff Careers website. For more information about the Cumming School of Medicine visit Careers in the Cumming School of Medicine.
About the University of Calgary
The University of Calgary is Canada’s leading next-generation university – a living, growing and youthful institution that embraces change and opportunity with a can-do attitude. Located in the nation’s most enterprising city, the university is making tremendous progress on its Eyes High journey to be recognized as one of Canada’s top five research universities, grounded in innovative learning and teaching and fully integrated with the community it both serves and leads. The University of Calgary inspires and supports discovery, creativity and innovation across all disciplines. For more information, visit ucalgary.ca.
The University of Calgary has launched an institution-wide Indigenous Strategy in line with the foundational goals of Eyes High, committing to creating a rich, vibrant, and culturally competent campus that welcomes and supports Indigenous Peoples, encourages Indigenous community partnerships, is inclusive of Indigenous perspectives in all that we do.
The University of Calgary recognizes that a diverse staff/faculty benefits and enriches the work, learning and research experiences of the entire campus and greater community. We are committed to removing barriers that have been historically encountered by some people in our society. We strive to recruit individuals who will further enhance our diversity and will support their professional success while they are here. We encourage all qualified applicants to apply, however preference will be given to Canadian citizens and permanent residents of Canada."
95,"Toronto, ON",Element AI,"Chercheuse/Chercheur scientifique, recherche appliquée - Sér...",NA,"English version below

Chef de file mondial de l'intelligence artificielle, Element AI poursuit un objectif commun, celui d'utiliser nos vastes capacités de recherche pour développer des produits et logiciels d'IA offrant des solutions aux problèmes complexes auxquels font face les entreprises et la société en général.

Nous croyons que l'être humain doit toujours rester au cœur de tout ce que nous faisons. C'est pourquoi nous avons adopté une approche collaborative et humaine, afin que nos objectifs restent toujours éthiques et ancrés dans le réel.

L'équipe d'analyse chronologique est un équipe d'experts interdisciplinaire dont le mandat est de développer des outils basés sur l'apprentissage automatique et l'intelligence artificielle pour résoudre des problèmes industriels complexes dans les domaines des prévisions fondées sur l'analyse chronologique, de la détection d'anomalies temporelles et séquentielles, des systèmes de recommandation temporels, de la modélisation spatiotemporelle, des analyses de type « temps avant événement » et plusieurs autres.

Ce que vous ferez :

Confronté à des problèmes concrets et des jeux de données réels, vous devrez mettre à profit votre expertise et votre créativité pour appliquer les méthodes existantes (et en développer de nouvelles) afin de trouver des solutions pratiques et flexibles. Vous serez appelé à contribuer à l'évaluation de différentes possibilités et partager vos idées et vos commentaires concernant la conception des produits. Vous devrez donc évaluer et comprendre les besoins des clients (internes ou externes) pour les traduire en solutions pertinentes et applicables.

Vous devrez en outre effectuer la recherche nécessaire pour proposer des modèles et techniques appropriés et démontrer l'expertise pour mettre en place et former les modèles vous-même. Lorsque pertinent, vous n'hésiterez pas à appliquer les méthodes classiques d'apprentissage automatique, mais vous êtes également prêts à innover et repousser les frontières de l'apprentissage automatique, de l'apprentissage profond et de l'IA.

Finalement, vous devrez comprendre et accepter que la valeur de votre travail se reflète dans son impact sur l'utilisateur final de nos produits; trouver des façons de mesurer cet impact doit faire partie intégrante de votre mission.

Profil recherché :

Vous avez une expérience considérable en modélisation et en analyse chronologiques, soit en prévision en détection des anomalies. Vous avez une connaissance approfondie ou un intérêt marqué pour la théorie derrière l'apprentissage automatique et d'autres domaines de l'IA, acquise au fil de vos études, de votre expérience dans l'industrie et de projets personnels sensationnels. Vous êtes à l'aise à exprimer vos idées sous forme de code et n'avez pas peur de vous retrousser les manches et contribuer aux tâches de programmation et d'ingénierie.

Vous comprenez que de tester un modèle avec les données variées et excessives associées à un contexte commercial est différent que de le tester dans un contexte académique « propre » — vous savez que de modifier un modèle ou une technique dans un tel environnement peut représenter un défi de taille. Cela ne vous effraie pas, vous avez peut-être même de l'expérience avec ce genre de défis.

Vous apprenez de manière autonome et vous êtes toujours à l'affût des plus récentes découvertes et techniques dans votre domaine; vous êtes motivé à participer aux différentes occasions d'apprentissage que nous offrons.

Le ou la candidat(e) idéal(e) aura de l'expérience ou de bonnes connaissances touchant à un vaste éventail de sujets : modélisation chronologique, nettoyage de données, répartition, ingénierie de fonctionnalités, processus stochastiques, modèles chronologiques classiques, techniques d'apprentissage automatique pour les problèmes de régression, etc. Si vous avez déjà résolu un problème de prévision chronologique de A à Z – vous serez à votre place dans notre équipe!

Ce que nous vous offrons :

Faites équipe avec d'autres passionnés de l'IA;
Profitez d'un excellent équilibre travail-vie;
Laissez votre marque dans une industrie en plein essor;
Déployez votre talent pour affronter de nouveaux défis chaque jour;
Vous serez étonné de tout ce que vous apprendrez;
Culture d'entreprise ouverte et inclusive.

Element AI souscrit au principe de l'égalité d'accès à l'emploi et favorise la diversité au sein du personnel. Nous ne pratiquons aucune discrimination sur la base de la race, de la religion, de la couleur de peau, du pays d'origine, du sexe, de l'orientation sexuelle, de l'âge, de l'état matrimonial, du statut d'ancien combattant ou des incapacités.


Element AI is one of the world's largest artificial intelligence companies, with a shared goal of using our extensive research to develop AI products and software that will solve some of the most challenging issues facing businesses and society as a whole.

We are founded on the belief that humans should be at the heart of everything we do, and have adopted a people-first and collaborative mindset to ensure we collectively drive real and ethically-sound results.

The AI Core Time Series team is a cross-disciplinary team of experts that develops Machine Learning-based and AI-based tools for solving complex industrial problems in the fields of time series forecasting, temporal and sequential anomaly detection, temporal recommendation systems, spatio-temporal modelling, time-to-event, and the like.

What you'll do:

You will be confronted with real-world challenges and datasets, and you will need to use your expertise and creativity to apply existing methods and develop new ones to solve these problems in a practical and scalable way. You will be called upon to assess possibilities and provide ideas and input into product design choices. This will involve understanding your customer (internal or external) needs and translating them into solutions that address those needs.

You will be expected to both do the necessary research to propose appropriate models/techniques and to have the necessary expertise to implement and train the models yourself. Where useful, you will not hesitate to employ classical forecasting methods, but you are enthusiastic about the idea of pushing the boundaries of Machine Learning, Deep Learning and AI.

Finally, you will be expected to embrace the fact that the value of your work is ultimately reflected in the impact it has on the end-customers using our products and to find ways of measuring that impact as an integral part of your mission.

What we're looking for:

You have significant experience with time series modelling and analysis from either a forecasting or anomaly detection perspective. You also have an understanding or significant interest in the underlying theory of machine learning or related AI field. This expertise can come from extensive studies, previous industrial experience or awesome self-taught projects you have done on a personal basis. You are comfortable expressing ideas into code and do not mind getting your hands dirty in various coding and engineering tasks.

You understand that running a model on the varied and often noisy data that arise in a commercial context differs significantly from running it on a clean academic dataset and that modifying a model or technique to work in that setting can be a significant and sometimes frustrating challenge. You embrace this challenge and may even have previous experience tackling it.

You learn autonomously and will enthusiastically stay up to date with the literature and techniques of your field while participating in the various learning opportunities we offer.

The ideal candidate would have experience or familiarity with topics such as time series modelling and analysis, data cleaning, imputation, feature engineering, stochastic processes, various classical time series models, machine learning techniques for regression problems. If you have experience solving a time series forecasting problem end to end, then you'll fit right in!

What we offer for your valuable work:

Work closely with other AI enthusiasts;
Enjoy your work and life harmony;
Leave your mark in a thriving industry;
Apply your talent to tackling new challenges everyday;
Be surprised at how much you will learn;
Open and inclusive company culture.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
96,Ontario,Nulogy,Machine Learning Engineer,NA,"COMPANY OVERVIEW

Nulogy is a rare company. We value autonomy, mastery, and purpose for our employees and a highly transparent and honest culture. This has helped us be recognized repeatedly as one of AON Hewitt's Best Employers in Canada at their Platinum level — an award decided by anonymous employee surveys, not marketing spin. Our motto is: It's not just business, it's personal. After 14 years working together, the company's founders from the University of Waterloo are still all at Nulogy — and great friends!

Nulogy also has a solid business model, generating real revenue from huge concrete benefits provided to customers around the world serving the supply chains of household names like L'Oreal, Sony, Procter & Gamble, and Pfizer. We are still in the early stages of bold and transformative strategies that stretch far beyond where our business is today. For our rapid growth, Nulogy has won the Deloitte Fast 50 award where we were identified as one of the 200 fastest growing companies in North America. By joining Nulogy, you will work in intelligent, high performance teams on very challenging problems that make a real global impact.


YOUR MISSION

Identify groundbreaking solutions using Nulogy data and bring them to life through leveraging Machine Learning techniques.

JOB PURPOSE

You will join an ambitious data team that is transforming the way contract packagers and CPGs do business. The role will work in conjunction with data scientists and data engineers in the team, to convert ML models and make them work in a quality production environment. You will be responsible for bringing the best software development practices to the analytics team and building out an MLOps practice within the team to speed up analytics deliverables.

KEY RESPONSIBILITIES

Develop and build machine learning models that generate insightful recommendations for customers
Transform ML Prototypes into working products that can be used by end users in different business units seamlessly
Deploy ML models in production and put them in the heavy-scalable cloud environments, while also maintaining a high quality, reusable code
Optimize ML models and codes developed by Data Scientists, for performance and scalability and implement custom ML code when required.
Ensures that all production models and jobs related to the model are working properly in terms of actual execution and scheduling
Automates and abstracts away different repeatable routines that are present in most machine learning tasks.
Provide support to Data Scientists to design, build, implement, and optimize ML solutions using a variety of programming languages and ML Libraries.
Work alongside product management and other stakeholders to translate business requirements into machine learning functionality
Develop domain expertise in supply chain



EDUCATION

Degree in Computer Science, Statistics, Math, Operations Research, Engineering or equivalent
MSc or PhD in related fields is a big plus



ABOUT YOU

You have 2-5 years experience as a Data scientist/ ML engineer / MLOps.
You have extensive experience using Python.
You are comfortable with data structures and algorithms, fundamentals of probability and statistics, data modeling and evaluation.
You have experience in ML model building and deployment on cloud platforms
You have experience with the following technology stack:*SQL, Analysis Services, and Reporting Services
Python, ML librariesRest API, Flask, Dockers
You are capable of narrating the story behind the data to a non-technical audience.
You value autonomy, and are capable of owning data projects from start to finish.
You are comfortable working with messy data.
You have great communication and interpersonal skills.
You are a creative problem solver.
You have worked in an agile environment.

NICE TO HAVE

Strong software engineering fundamentals
Experience in Java, Javascript, spark
Strong knowledge of time series analysis
Supply chain domain knowledge
Strong business acumen

Nulogy embraces diversity, and we recognize the need for teams that represent a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be. We encourage everyone to apply."
98,"Oakville, ON",Prodigy Game,"Data Engineer, Game",NA,"Prodigy Education connects students, parents, teachers and school districts with resources that promote a lifelong love of learning. Anyone with an internet connection is welcome to create a free account and try the most effective and engaging K-8 math platform in the world. Our business model helps us connect with youth around the world, with over 100 million students now voluntarily practicing math every single day — and enjoying it!

At Prodigy Education, we have an incredible team that works tirelessly to turn our goal of making education a human right into a reality. We are immensely grateful for our amazing team and all they do every day. We welcome people who share our passion to join our team, where you will have the opportunity to help an entire generation of students to LOVE learning.

Our passion is our mission - to help every student in the world love learning!

Please note: During the Covid-19 pandemic, in order to keep all our candidates safe, Prodigy is hiring and on-boarding 100% remotely for the time being.

Overview:
Here at Prodigy, we are working hard to achieve our mission of helping every child in the world to LOVE learning. Our Data team is scaling rapidly as we continue to hit our product and growth milestones, and it’s an exciting time for the company! Our data team is responsible for all aspects of data ingestion, storage, transformation, and analyzation using modern tools and environments such as Spark, Airflow, Snowflake, Periscope, Kinesis, AWS. You will be working alongside our development and data science teams to help build and manage all of our data pipelines.
Your Impact:
Create and manage key business data pipelines
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data acquisition, data-related technical issues and other analytics needs.
Work cross-functionally to explore and propose solutions to business problems that can be addressed using insights from data
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Support the development of new solutions for batch, real-time data, and analytics use cases that align with business requirements
Maintain and troubleshoot the infrastructure built for optimal extraction, transformation, and loading of data from a wide variety of data sources
Identify, design, and implement process improvements: automate manual processes, optimize data delivery, improve data reliability, efficiency, and quality, etc.
Build analytics tools that utilize the data pipeline to provide actionable insights into student learning, customer acquisition, operational efficiency, and other key metrics.
Who You Are:
Working familiarity with a variety of different storage mechanisms including SQL & NoSQL databases, Data Warehouses, and Data Lakes.
Experience working with AWS Cloud platforms and related systems
Experience building and optimizing data pipelines, architectures, and data sets.
Experience with big data tools: Databricks, Spark, Kafka, etc.
Experience with data pipeline and workflow management tools, such as Airflow
Experience with real-time data processing and stream-processing systems: Kinesis, Spark-Streaming, etc.
Experience in requirements analysis, design, implementation, and testing of software solutions, especially data related, using Python, Scala, and/or other programming languages
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Experience implementing backend Data APIs using NodeJS, Python, or other programming languages
Strong project management, organizational and communication skills.
University degree in Engineering, Computer Science, Stats, Mathematics. Graduate degree in Data Science related discipline is a strong asset
Our Core Technologies:
Data tools: Kinesis, Lambda, Kubernetes, ECS
Storage: S3, Snowflake, Delta, Postgres Aurora, DynamoDB
Coding World & Libraries: Python, Javascript (Node.JS), Spark
Platforms: AWS, Persicope, Databricks.
What We Offer:
The opportunity to build a career of value and witness first hand the impact Prodigy has as the most engaging math platform in the world!
A culture of transparency, where team members are involved in important conversations
No micromanaging here! We believe in our employees skills and abilities, we encourage you to bring new innovative ideas to your team
Full health benefits from day one (1) for you and your family, fully covered! Nothing is ever taken off your pay cheque
We are a profitable company, with eligibility to participate in stock options for all employees
Late or early riser? We understand! We offer flexible working hours that allow you to schedule your 8 hour day with a bit more flexibility. We do have core office hours, to ensure team members can be present for important meetings and department needs. Our core office hours are 10:30am - 3:00pm

While we operate 100% remotely for the time being, our company culture and values remain at the core of everything we do. We are offering a number of remote-friendly activities such as:
Virtual trivia
Zoom meditation, stretching, and fitness sessions
Daily remote challenges via Slack
Virtual “Prodigy Prepares” cooking series featuring our very own employees!
Remote work employee budget for things like home office equipment etc.

When this pandemic comes to an end and it is safe to be back in the office. Here's a glimpse into what you can expect:
Feel like a different work environment? Work from home 1x a week!
Team building events that not only include you as a Prodigy employee, but your significant other and children as well
Company pizza lunch every second week for ‘All Hands’, where we discuss important Prodigy milestones
Do you need some fun to help break up your day? We have that covered! Join in some Ping Pong games, Smash Bros competitions or board games!
Come as you are

We believe the power of our collective potential will transform education. We are building towards a diverse, inclusive, and equitable workplace to empower and create access and opportunity for all. We welcome applications from people from all underrepresented groups, including (but not limited to) people of any gender, age, or religion, members of the LGBTQIA2+ community, BIPOC and other underrepresented races and nationalities, people with disabilities, veterans, and anyone who may contribute to the further diversification of Prodigy Education.
If you feel like you don’t have all the qualifications for this position, and are willing to use your initiative to learn the rest, we’d still love for you to apply!

We are an equal opportunity employer and are committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act, 2005 (AODA). Prodigy Game will provide accommodations to job applicants with disabilities throughout the recruitment process. If you require an accommodation, please notify us and we will work with you to meet your needs."
101,"Toronto, ON",Insurance Bureau of Canada,Senior Systems Data Analyst,NA,"This may be due to the following:
1. The page is not currently available for the specified region.
2. The page does not exist in the specified language, at this point in time.
3. The page has been removed and/or is outdated.
4. The url is invalid.
We apologize for the inconvenience."
104,"Kelowna, BC",Golder Associates,Environmental Data Analyst,NA,"Environmental Data Analyst
 - (20001874)

At Golder, we thrive on challenges.

Golder is not just a place to work, it is a promise of a living, dynamic environment where people collaborate, innovate, build enduring relationships, excel, and grow professionally in a strong culture of ownership.
Do you have the desire to learn? The drive to excel and thrive in an engaged, collaborative environment?

Golder Associates is seeking a dynamic Environmental Data Analyst working as part of the Mining Environmental Team in the Kelowna office.
The successful candidate will be involved in a broad range of responsibilities, that could include:
Perform standard quality assurance checks on data loaded into relational databases
Write custom SQL queries
Manage setup of users, provide training and trouble-shooting

The successful candidate will possess the following qualifications:
Degree in Computer Science, Chemistry, Mathematics, Engineering or a related field
Candidates with suitable experience in QA, Testing or Development will also be considered
Familiar with one or more of Microsoft Visual Studio, C#, JQuery, JavaScript or Git
Familiar with MS Access or MS Excel
Strong organizational and communication skills are recommended
Self-motivated, detail-oriented, and interested in a career involving analytical data management, quality assurance or data science

Your benefits at Golder will include:

Competitive benefits and remuneration packages
Employee owned structure - own the business, own the result
Deepen your expertise in a dynamic work environment
Innovative and collaborative multidisciplinary projects
On the job training, mentoring, and coaching
Global projects and travel opportunities


One of Canada’s Best Managed Companies, Platinum member status 13 consecutive years

Renowned for technical excellence, Golder is a leading, global employee-owned engineering and consulting firm with over a half century of successful service to its clients. With over 165 offices in over 30 countries, Golder’s 6,500 professionals are driven by a passion to deliver results, offering unique specialized skills to address the ever-evolving challenges that earth, environment and energy present to clients across the infrastructure, mining, oil and gas, manufacturing and power sectors.
Golder Associates Ltd. is committed to meeting the accessibility needs of persons with disabilities in accordance with the Accessibility for Ontarians with Disabilities Act, 2005 (AODA), and all other applicable legislation. Golder will provide accommodations throughout the recruitment and selection process to applicants with disabilities upon request.

To learn more about our company and culture click here to view The Promise of Golder video.
#LI-MM1


Primary Location CA-BC-KELOWNA
Schedule Full-time
Employee Status Regular
Job Posting Nov 9, 2020, 4:01:19 PM"
105,"Montréal, QC",Intact,"Data Science Specialist, Intact Lab",NA,"Are you a machine learning expert who believes we are only in the infancy of artificial intelligence? Are you passionate about advanced analytics and Big Data? Do you stay current with the latest trends in analytics and jump at the chance to experiment with new tools? We have the perfect opportunity for you!
Hiring Manager: Amine Mahmoudi
Workplace: Montreal (2020, Blvd. Robert-Bourassa), Toronto (700, University) or Quebec City (5700, des Galeries)
Your contribution:
Be the technical leader that help defining data science problems and developing innovative solutions using machine learning and advanced statistics
Help achieve long-term business goals by identifying and implementing solutions to subtle or ambiguous problems with the highest scientific rigour
Influence the lab technical direction by making actionable recommendations based on scientific and business findings to management
Coaching and mentoring of senior data scientists on technical matters and act as a technical reference for management
Review machine learning solutions and identify their corresponding scientific debt, and ultimately assess readiness for production deployment
Help the teams maintain a high scientific level by monitoring the application of data science standards of practice and participate in their evolution
Keep pace with new approaches and trends and use them in your own solutions
Work with other departments to promote the adoption of analytical principles within the organization


Your Skills


Your assets:
Your Master’s or PhD’s degree in a relevant discipline (mathematics, science, engineering, operational research, economics, statistics, AI, computer science or a related field)
Your 8 years of experience in the field of advanced statistics, data mining and text mining
Strong communication, time management, great teamworking and organization skills
Expert-level understanding of the underlying theory of machine learning
Expert-level understanding in either computer image analysis, natural language processing or artificial intelligence
A multi-platform production experience with commercial and open-source data mining frameworks like Python, R, GitHub, etc.
Your ability to focus on vaguely defined issues requiring the application of a creative approach
Here are a few reasons why others have joined our team:
An award-winning, inspiring workplace that supports its people and recognizes great work
Stimulating, challenging projects and development opportunities to help you grow your skills and career
Flexibility in how and where you work
A comprehensive financial rewards program that recognizes your success
An extensive, flexible benefits package
An industry leading Employee Share Purchase Plan where we match 50% of net shares purchased
A casual ‘dress for your day’ culture that encourages you to be yourself
A $350 annual wellness account that promotes an active lifestyle


Closing Statement


We are an Equal Opportunity Employer
At Intact, our value of Respect is founded on seeing diversity as a strength, being inclusive and fostering collaboration. We value diversity and strive to create an inclusive, accessible workplace where all individuals feel valued, respected and heard.
If we can provide a specific adjustment to make the recruitment process more accessible for you, please advise the Talent Acquisition partner who reaches out about the job opportunity and they will work with you to meet your needs.
Background Checks
As an employer and publicly traded financial services company, the best interests of our customers, employees and shareholders are important to us. We want Intact to be a great place to work! This means that internal and external candidates will be asked to consent to background checks so we can learn more about you. Please note that for positions with access to financial data or funds, your credit must be in good standing.
Internal Candidates
For internal candidates, you can apply for a posted position if you have been in your current position for at least 12 months and are performing at a satisfactory level. Please note we may have identified other internal candidates through our Employee Development Program, and that the selection process may also be opened to external applicants.
Eligibility to Work in Canada
It’s important that you are legally eligible to work in Canada at the time an offer of employment is made. You may be requested to provide proof of eligibility at that time.


Referral Bonus


This role is eligible for employee referral bonus. #myReferrals3000"
